n,tiempo_dp,tiempo_greedy,ganancia_dp,ganancia_greedy,ganancia_greedy_fast,calidad_porcentaje
10,3.347999881953001e-05,2.859998494386673e-06,225,185,225,90.72764572010361
20,8.083999855443836e-05,3.959998139180243e-06,532,528,593,94.95853134814583
30,0.00016448000096715986,1.3299996498972178e-05,929,766,766,83.30685053433866
40,0.0002753999986452982,6.3999992562457916e-06,1198,735,735,77.28251764795131
50,0.0004987599997548387,7.479998748749494e-06,1455,1198,1331,82.05476726140049
100,0.002166160001070239,3.7300004623830316e-05,2701,2367,2566,85.94081473509874
200,0.009813360002590343,5.5280004744417965e-05,5042,4521,4940,84.82371871428622
300,0.021062340002390555,5.413999897427857e-05,8275,6778,8275,85.22255060122987
500,0.06267497999942861,8.549999911338091e-05,13008,11199,12895,85.40054524919618
750,0.1577323600038653,0.00013445999938994647,20027,16834,18679,85.38431137020368
1000,0.2647555999952601,0.00033234000438824295,24881,21399,24819,85.24390019924833
